,id,type,name,age,gender,city,breed,city,zip,large_photo,state,species,status,url
340,59310456,Dog,Cranberries,Adult,Male,Asheville,Pit Bull Terrier,Asheville,28806,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310456/1/?bust=1673118392&width=600,NC,Dog,adoptable,https://www.petfinder.com/dog/cranberries-59310456/nc/asheville/asheville-humane-society-nc1080/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
341,59310461,Dog,Lunden,Adult,Male,Asheville,Yellow Labrador Retriever,Asheville,28806,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310461/1/?bust=1673118393&width=600,NC,Dog,adoptable,https://www.petfinder.com/dog/lunden-59310461/nc/asheville/asheville-humane-society-nc1080/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
342,59310458,Dog,Boots,Adult,Female,Asheville,Black Labrador Retriever,Asheville,28806,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310458/4/?bust=1673161103&width=600,NC,Dog,adoptable,https://www.petfinder.com/dog/boots-59310458/nc/asheville/asheville-humane-society-nc1080/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
343,59310452,Dog,Honey Bear,Young,Female,Lewisburg,Beagle,Lewisburg,24901,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310452/2/?bust=1673386001&width=600,WV,Dog,adoptable,https://www.petfinder.com/dog/honey-bear-59310452/wv/lewisburg/greenbrier-humane-society-wv48/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
344,59310446,Cat,Eggroll,Baby,Male,Eureka Springs,American Shorthair,Eureka Springs,72632,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310446/1/?bust=1673119290&width=600,AR,Cat,adoptable,https://www.petfinder.com/cat/eggroll-59310446/ar/eureka-springs/good-shepherd-humane-society-ar36/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
345,59310445,Cat,Crispito,Baby,Male,Eureka Springs,American Shorthair,Eureka Springs,72632,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310445/1/?bust=1673119291&width=600,AR,Cat,adoptable,https://www.petfinder.com/cat/crispito-59310445/ar/eureka-springs/good-shepherd-humane-society-ar36/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
346,59310438,Cat,Freckle,Baby,Male,Cartersville,Domestic Short Hair,Cartersville,30120,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310438/6/?bust=1673381802&width=600,GA,Cat,adoptable,https://www.petfinder.com/cat/freckle-59310438/ga/cartersville/etowah-valley-humane-society-ga191/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
347,59310437,Cat,Felix,Baby,Male,Cartersville,Domestic Short Hair,Cartersville,30120,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310437/5/?bust=1673381806&width=600,GA,Cat,adoptable,https://www.petfinder.com/cat/felix-59310437/ga/cartersville/etowah-valley-humane-society-ga191/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
348,59310436,Cat,Franky,Baby,Male,Cartersville,Domestic Short Hair,Cartersville,30120,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310436/4/?bust=1673381809&width=600,GA,Cat,adoptable,https://www.petfinder.com/cat/franky-59310436/ga/cartersville/etowah-valley-humane-society-ga191/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
349,59310434,Dog,Nacho,Baby,Male,Morton Grove,German Shepherd Dog,Morton Grove,60053,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310434/3/?bust=1673306881&width=600,IL,Dog,adoptable,https://www.petfinder.com/dog/nacho-59310434/il/morton-grove/wright-way-rescue-il147/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
